order	mean	sd	month
5	0.15440527993179365	0.0505580681285003	13
6	0.13724270812960984	0.04083841383603716	13
7	0.1251401741343806	0.03416244356193069	13
8	0.11611115909725014	0.02927179019221132	13
9	0.10910939405158857	0.0255200848799795	13
10	0.10352547800346185	0.022545189453907065	13
11	0.09897677687357397	0.020127418492994105	13
12	0.09520891850464994	0.01812498602312959	13
13	0.09204506369477594	0.016441856999252272	13
14	0.08935779529017178	0.015010258883458227	13
15	0.0870526154081025	0.013780559300428662	13
16	0.08505778550023656	0.012715186194868507	13
17	0.0833178089395953	0.011784885613634296	13
18	0.0817890947806264	0.0109663650487144	13
19	0.08043697716579765	0.010240767759865656	13
20	0.07923360659414508	0.009592650229411834	13
1	1	0.29378993985482826	14
2	0.3339592818952664	0.1581632370636274	14
3	0.2250410011385975	0.10484794815342774	14
4	0.17799038146821888	0.07925650481224854	14
5	0.1514813633493975	0.06530174853092288	14
6	0.13406579281602363	0.05691024889649261	14
7	0.12146763852034266	0.05137522481699704	14
8	0.11177050519460797	0.047451749196626314	14
9	0.10398323384077766	0.044516077749264436	14
10	0.09753367742923655	0.042221989962087744	14
11	0.09206404374162745	0.04036111816804763	14
12	0.08733723935801053	0.0388013640878829	14
13	0.0831891743536168	0.037456187802933534	14
14	0.07950232229500968	0.03626752384294245	14
15	0.07619009212223338	0.035195578464072334	14
16	0.07318713224365027	0.03421248896261949	14
17	0.07044308391695579	0.03329829335184836	14
18	0.06791843167115047	0.03243833210671637	14
19	0.06558167412405248	0.03162155639505915	14
20	0.0634073500569714	0.030839417789576704	14
1	1	0.3063222310204096	15
2	0.30110396420599916	0.15652210426256985	15
3	0.19606057268863505	0.09754277270356558	15
4	0.15250678617834917	0.06991544095308738	15
5	0.12875333885523432	0.055117479503564715	15
6	0.11355210738745879	0.04658963008367106	15
7	0.10275633567460744	0.04128741173957592	15
8	0.09454103213515343	0.037759265965615456	15
9	0.08798587033238105	0.035276614571281284	15
10	0.08257413312344807	0.03344571779734289	15
11	0.07799079719352568	0.032038647511257685	15
12	0.07403135556696637	0.030916431905770068	15
13	0.07055639843798701	0.029991129973302087	15
14	0.06746708277906033	0.02920550311912893	15
15	0.06469099960106116	0.028521394586986822	15
16	0.06217360323139454	0.02791277640321575	15
17	0.05987279608639232	0.027361452321309265	15
18	0.05775539144073122	0.026854340364473706	15
19	0.05579473826643662	0.026381727098265903	15
20	0.05396908817390989	0.025936135182948825	15
1	1	0.2639331596395592	16
2	0.34504285313789096	0.14910012516305127	16
3	0.24190224601910623	0.09575604065905216	16
4	0.19816070076756437	0.06770175211115367	16
5	0.17417243079846417	0.05051654395468981	16
6	0.1590105228507064	0.039213826157891894	16
7	0.14851854935554754	0.03141107470212557	16
8	0.14079408163601045	0.02585704997367549	16
9	0.1348418224384014	0.02182498568698154	16
10	0.13008876906921682	0.018849895475405668	16
11	0.12618229958505078	0.016615019164676156	16
12	0.12289482693269072	0.014899231632349937	16
13	0.1200739826308061	0.013548170214800823	16
14	0.11761458365761163	0.012455062239376558	16
15	0.11544201635593102	0.011546670646451642	16
16	0.11350201534871115	0.010772906043563596	16
17	0.11175419419963355	0.010099376728733043	16
18	0.11016785079831208	0.009502230160936572	16
19	0.1087191871979327	0.00896467759517402	16
20	0.10738942795019973	0.00847469106010899	16
1	1	0.217020130949944	17
2	0.3301029024783001	0.16024939413554537	17
3	0.21120584297887382	0.10084338817619068	17
4	0.15991764953244617	0.0676729438592054	17
5	0.1325422998852746	0.04771472687770839	17
6	0.11601499494721425	0.03517205504267801	17
7	0.10515823755495146	0.02692340366800004	17
8	0.09757560322896017	0.02128857294988097	17
9	0.09202411036446896	0.017328429438565537	17
10	0.08780187254730386	0.014484050393121025	17
11	0.08448687120383294	0.01240228192393706	17
12	0.08181298296551014	0.010850367025459634	17
13	0.07960586093311661	0.009671060575937513	17
14	0.07774753155905503	0.008756669042579273	17
15	0.07615586505064517	0.008032791110680905	17
16	0.07477220918642569	0.007447641135146951	17
17	0.07355370338343638	0.006964886752283224	17
18	0.07246836951433679	0.0065588050793807355	17
19	0.07149189790832511	0.006210995321066988	17
20	0.07060549463530837	0.005908140387311629	17
1	1	0.27060807929664493	18
2	0.3434514895492475	0.1549006060053124	18
3	0.2379707339199644	0.09778276773782135	18
4	0.1931463828085883	0.06865176208368912	18
5	0.16864368555986411	0.0518921982540716	18
6	0.1531782193992472	0.041762990633298525	18
7	0.1424332905937274	0.035411829542399485	18
8	0.13444082049529724	0.03130422448496695	18
9	0.12818439625308398	0.028566870658186482	18
10	0.12308878440389359	0.026680420899357	18
11	0.11880594844389329	0.0253276932153503	18
12	0.11511461931282348	0.024312357521160267	18
13	0.11186860216261979	0.023511976033814632	18
14	0.10896817698019828	0.02284970856226388	18
15	0.10634338387745194	0.022276998294396867	18
16	0.10394384035704274	0.02176292937886385	18
17	0.10173233732680641	0.021287662682074295	18
18	0.09968070978323854	0.020838362926311204	18
19	0.09776711995299103	0.020406650190142768	18
20	0.09597423926037847	0.01998698937265405	18
1	1	0.23566865965005687	19
2	0.32783626987537595	0.14286161141508635	19
3	0.226456994212254	0.08180409608062833	19
4	0.18566521256974455	0.0532475520850507	19
5	0.16387468150397183	0.03850496938891438	19
6	0.15010058352853406	0.030363187772248303	19
7	0.14039247982314468	0.025449989556093806	19
8	0.13304276764757347	0.022199282876659406	19
9	0.12720026773833581	0.019874857351563722	19
10	0.12239045623127334	0.018110453352815338	19
11	0.11832544427269753	0.016709187022523397	19
12	0.11481920836180028	0.01555716404320846	19
13	0.11174564663564114	0.014584370342286991	19
14	0.10901598338312005	0.01374552068984678	19
15	0.10656575389147407	0.013009967829360222	19
16	0.10434690412896591	0.012356090655210261	19
17	0.1023227900294542	0.011768052444835773	19
18	0.10046490159368744	0.011233870583196588	19
19	0.09875065444624462	0.010744233095992086	19
20	0.09716186444553578	0.010291749430646507	19
1	1	0.25467837364060325	20
2	0.329076239375242	0.15455188109977483	20
3	0.22030041755955387	0.09775205307218397	20
4	0.1734787080531756	0.07015933783052809	20
5	0.14722300263711685	0.0545593618586045	20
6	0.1301846499706853	0.04500543041909636	20
7	0.11802714604044207	0.03877155883246217	20
8	0.10876078559949322	0.034476653011632045	20
9	0.10135204415774869	0.031355033132942946	20
10	0.09521544163590584	0.028955785006348062	20
11	0.08999785933501114	0.027007847859823315	20
12	0.08547547079642193	0.025348754541646933	20
13	0.08150001241336365	0.02388202797096007	20
14	0.07796906280533265	0.022550740680249537	20
15	0.07480892599557909	0.02132127466327143	20
16	0.0719644767908242	0.02017356239940211	20
17	0.06939298621508774	0.019095333899631903	20
18	0.06706027976749755	0.01807877158233053	20
19	0.06493829114312095	0.01711858361053024	20
20	0.06300346616887895	0.016210902349386543	20
1	1	0.25921657104827245	21
2	0.2869875918639268	0.15063831013738033	21
3	0.1870957732516342	0.09256993869791766	21
4	0.14675423192808432	0.06402040291348687	21
5	0.12509149407310505	0.0471469956928702	21
6	0.11153090452420596	0.03630675536497233	21
7	0.10219824927917158	0.02890966821605477	21
8	0.09536682393758872	0.023638483523685985	21
9	0.09014891788885515	0.019763674444173315	21
10	0.08603711228802088	0.01684581918590764	21
11	0.0827179827500297	0.01460286124894483	21
12	0.07998638393017213	0.012846647484302127	21
13	0.07770181857811838	0.011448862734958236	21
14	0.0757644601144851	0.010320561027643352	21
15	0.07410119696115554	0.009398998952325998	21
16	0.07265713263230453	0.008638959109369786	21
17	0.07139020362567536	0.008007031742761178	21
18	0.07026764907616329	0.007477874012250572	21
19	0.06926361795806778	0.0070317769810776904	21
20	0.06835749766915691	0.006653081484556395	21
1	1	0.2535791154257404	22
2	0.2932779246070379	0.1564680116779286	22
3	0.18826955989309074	0.09527608056723133	22
4	0.14473497218606057	0.06572674040318263	22
5	0.12072855502850265	0.04903950051650283	22
6	0.10525737068019461	0.03881527854058242	22
